gis_nr,farm_id,bfsnr,gembez,estate_nr,flaeche,blw_nr,blw_name,harvest_date,has_nhg_contract,lz_code,hang_50,hang_reb_0,hang_reb_30,hang_reb_50,einzelkulturbeitrag,outside_canton,bfs_parz,birth,bfsnr_num,has_bff_q2_contract,has_connectivity_contract,has_lqb_contract,region,contribution,used,operating_rate,hang_0,hang_18,hang_35,q1_from,geodb_oid
"346854",0097/ 1/  4,"0097",Rümlang,"3830",20,"0712",Christbäume,,0,31,0,0,0,0,N,N,0097_3830,2023,97,N,N,N,Chilisbäum,J,J,100,20,0,0,,142849
"11376949",0009/ 1/ 31,"0009",Mettmenstetten,"2442",36,"0712",Christbäume,,0,31,0,0,0,0,N,N,0009_2442,2023,9,N,N,N,Sternen  Hoger,J,J,100,25,10,1,,143455
"96109",0212/ 1/  4,"0298",Wiesendangen,BE488,11,"0712",Christbäume,,0,31,0,0,0,0,N,N,0298_BE488,2023,298,N,N,N,Alp,J,J,100,7,4,0,,20655
"263812",0022/ 1/ 10,"0022",Benken (ZH),"993",40,"0712",Christbäume,,0,31,0,0,0,0,N,N,0022_993,2023,22,N,N,N,Guggenbühl,J,J,100,7,25,8,,24731
"110875",0116/ 1/ 91,"0116",Grüningen,"2594",14,"0712",Christbäume,,0,31,0,0,0,0,N,N,0116_2594,2023,116,N,N,N,Christbäume,J,J,100,13,1,0,,33690
"89761",0228/ 1/ 97,"0228",Turbenthal,"3722",11,"0712",Christbäume,,0,52,2,0,0,0,N,N,0228_3722,2023,228,N,N,N,Weidli,J,J,100,0,1,8,,37940
"309262",0251/ 1/ 29,"0251",Weiningen (ZH),"2976",5,"0712",Christbäume,,0,31,0,0,0,0,N,N,0251_2976,2023,251,N,N,N,Längg,J,J,100,5,0,0,,66520
"39342",0133/ 1/ 49,"0295",Horgen,HN6567,16,"0712",Christbäume,,0,41,0,0,0,0,N,N,0295_HN6567,2023,295,N,N,N,Oberhof,J,J,100,11,5,0,,91229
"343002",0097/ 1/  4,"0097",Rümlang,"1953",22,"0712",Christbäume,,0,31,0,0,0,0,N,N,0097_1953,2023,97,N,N,N,Stockbrunnen,J,J,100,22,0,0,,134586
"262708",0177/ 1/101,"0177",Pfäffikon,"2805",3,"0712",Christbäume,,0,31,0,0,0,0,N,N,0177_2805,2023,177,N,N,N,Egg,J,J,100,3,0,0,,140416
